분류,질문,답변
FAQ,01. 사용자 매뉴얼을 다운로드하고 싶습니다.,"사용자 매뉴얼은 아래 링크에서 다운로드 할 수 있습니다. 
  http://www.mb-driveview-warranty.com/download"
FAQ,02. Dashcam의 전원을 어떻게 켜고 끄나요?,"Dashcam의 전원 버튼을 약 3초 이상 누르면 ""띠디딕"" 비프음 발생 후 전원이 꺼집니다.
다시 전원 버튼을 짧게 누르면 전원이 켜집니다."
FAQ,"03. ""녹화를 시작합니다"" 안내음이 나오지 않습니다.",운전자가 차키를 소지한 상태에서 차량에 다가갈 시 단말기에서는 ACC ON으로 인식되어 상시모드로 전환될 수 있습니다.
FAQ,"04. ""녹화를 시작합니다."" 안내 음성이 송출되지 않습니다.","LCD 터치 > Live View > 음량이 ""0""으로 설정되어 있는지 확인하십시오."
FAQ,05. 초기 로고화면에서 멈춰있습니다,"SD Card 확인
SD Card를 제거하여 다시 전원 연결 하였을때 ""SD카드를 점검하세요"" 안내 음성이 나온다면
SD Card를 PC에서 Format한 후 다시 확인하십시오.
Format이 안 되거나 PC에서 SD Card를 인식하지 못한다면 SD Card 불량이므로 SD Card를 교체합니다.
정품 SD Card가 아닌 경우 품질 보증을 적용받을 수 없습니다. 정품 SD Card 사용을 권장합니다.
(주의) SD Card를  Format 하실 때는 사용자의 중요 녹화 파일이 있을 수 있으니, 양해를 구하고 Format
하십시오.
  SD Card를 포맷하거나 교체하여도 개선되지 않을 때
SD Card를 제거하여도 SD Card 확인 멘트가 나오지 않는다면 전방 카메라를 교체하여 정상작동되는지 확인하십시오."
FAQ,06. 시동이 걸려 있는 상태에서 Dashcam이 재시작을 반복합니다.,"SD Card 확인
SD Card를 제거하여 다시 전원 연결 하였을때 ""SD카드를 점검하세요"" 안내 음성이 나온다면
SD Card를 PC에서 Format 한 후 다시 확인하십시오.
Format이 안 되거나 PC에서 SD Card를 인식하지 못한다면 SD Card 불량이므로 SD Card를 교체합니다.
정품 SD Card가 아닌 경우 품질 보증을 적용받을 수 없습니다. 정품 SD Card 사용을 권장합니다.
(주의) SD Card를  Format 하실 때는 사용자의 중요 녹화 파일이 있을 수 있으니, 양해를 구하고 Format하십시오.
  SD Card를 포맷하거나 교체하여도 개선되지 않을 때
SD Card를 제거 또는 교체하여도 Dashcam이 재시작을 반복한다면 전방 카메라를 교체하여 정상작동되는지 확인해 보십시오.

참고
증상이 바로 재현되지 않는다면 녹화된 영상파일 중 주행 녹화 파일이 ""녹화를 시작합니다.""라는
안내 음성이 먼저 나오고 영상이 시작되는지 확인하십시오.
위의 두 가지 현상 외에 배선 상태에 따라 접촉불량으로 재부팅이 될 수도 있으니, 차량 퓨즈 및 배선 결합이 제대로 되어 있는지도 확인하십시오."
FAQ,07. Dashcam 본체 (전방 카메라) 화면에서 느낌표(!) 아이콘이 표시되고 시스템 재시작을 반복합니다.,"후방 카메라 연결 상태를 확인해 주십시오.
후방 카메라에 연결되는 플러그와 전방 카메라에 연결되는 플러그를 끝까지 삽입하여 주십시오.
  참고
FW 1.04 버전부터 후방 카메라가 완벽히 연결이 안될 경우 전방 카메라 화면에서 느낌표(!) 아이콘
표시 없이 전방 카메라에서만 녹화가 되고 ""후방 카메라가 연결되어 있지 않습니다."" 라는 음성 안내가
됩니다."
FAQ,08. Dashcam의 Status LED는 켜져있으나 LCD화면이 켜지지 않습니다.,"SD Card 확인
SD Card를 제거하여 다시 전원 연결 하였을 때 ""SD카드를 점검하세요"" 안내 음성이 나온다면
SD Card를 PC에서 Format 한 후 다시 확인하십시오.
Format이 안 되거나 PC에서 SD Card를 인식하지 못한다면 SD Card 불량이므로 SD Card를 교체합니다.
정품 SD Card가 아닌 경우 품질 보증을 적용받을  수 없습니다. 정품 SD Card 사용을 권장합니다.
(주의) SD Card를  Format 하실 때는 사용자의 중요 녹화 파일이 있을 수 있으니, 양해를 구하고 Format
하십시오.
  SD Card를 포맷하거나 교체하여도 개선되지 않을 때
SD Card를 제거하여도 LCD 화면이 들어오지 않는다면 전방 카메라를 교체하여 정상작동되는지
확인하십시오."
FAQ,"09. Dashcam 본체(전방 카메라)의 Status LED, Safety LED와 후방 카메라의 Safety LED가 켜지지 않습니다.","전방 카메라 확인
전방 카메라를 교체하여 정상작동되는지 확인하십시오.
전방 카메라를 교체하여도 개선되지 않을 때,
배선의 퓨즈 상태 및 체결 상태 및 전압을 체크하여 케이블에 문제가 있는지 확인하십시오.
  참고
OCP의 동작은 정상인지 확인 후 Power cable의 결선 확인이 필요합니다."
FAQ,10. Status LED가 빨간색으로 계속 점멸합니다.,"1. Dashcam 우측면에 위치한 SD카드 소켓에 SD 카드가 삽입되어 있는지 확인하십시오.
2. SD 카드가 삽입되어 있다면 SD 카드를 제거하였다가 다시 삽입합니다. SD 카드 재삽입시 자동 재부팅된 뒤 정상동작됩니다.
3. 1~2. 확인 후에도 정상동작되지 않는다면 Dashcam 좌측면에 위치한 전원 버튼을 6번 짧게 반복하여 눌러 SD 카드를 포맷 합니다.

(주의) SD 카드 포맷시 녹화된 파일은 모두 삭제되오니 중요한 파일은 미리 백업해두시기 바랍니다. 포맷 완료시 Dashcam은 자동으로 재부팅된 뒤 정상 동작됩니다."
FAQ,"11. MIC (마이크) 설정이 ""ON""인데도 녹화 파일 재생시 소리가 나지 않습니다.","1. 음량 설정이 ""0""으로 설정(Live view > Speaker icon 확인)되어 있는지 확인하십시오.

2. 음량 설정이 ""0""인 경우 음성 녹음이 되어 있어도 Dashcam 스피커 출력이 되지 않아 재생시 소리가 나지 않습니다."
FAQ,"12. 녹화 영상에 날짜, 시간이 표시되지 않습니다.","메인 메뉴 > 디스플레이 설정 > 날짜/시간표시가 ""끔""으로 설정되어 있는지 확인하십시오.
""끔""으로 설정되어 있다면 ""켬""으로 변경하여 주십시오."
FAQ,"13. 녹화 영상에 위치, 속도가 표시되지 않습니다.","메인 메뉴 > 디스플레이 설정 > 위치/속도표시가 ""끔""으로 설정되어 있는지 확인하십시오.
""끔""으로 설정되어 있다면 ""켬""으로 변경하여 주십시오."
FAQ,"14. 라이브뷰 상단에 년, 월, 일, 시간이 맞지 않습니다.",메인메뉴 > 시스템설정 > 시간설정에서 임의로 설정을 변경하였는지 확인하십시오.
FAQ,"15. 녹화 파일명에 기재된 날짜,시간과 실제 녹화된 날짜,시간이 맞지 않습니다.","ACC ON 상태
메인메뉴 > 시스템설정 > 시간설정에서 임의로 설정을 변경하였는지 확인하십시오.
  ACC OFF 상태
1. 메인메뉴 > 시스템설정 > 시간설정에서 임의로 설정을 변경하였는지 확인하십시오.
2. RTC(Real Time Clock) 배터리가 방전되었거나 고장난 경우 주차 모드에서는 GPS가 동작하지 않기 때문에 마지막 녹화파일의 시간에서 +1분의 파일명으로 녹화 파일이 생성됩니다."
FAQ,16. LCD 화면 꺼짐시간을 설정하고 싶습니다.,"ACC ON 상태
메인메뉴 > 디스플레이 설정 > LCD설정을 확인하십시오.
LCD설정은 30초, 1분, 5분 설정이 가능하며, 설정한 시간 뒤 LCD의 화면이 자동으로 꺼집니다.
  ACC OFF 상태
주차모드에서는 차량의 배터리 절약을 위해 LCD 화면이 켜지지 않습니다."
FAQ,17. Dashcam을 공장 초기화 상태의 설정으로 돌리고 싶습니다.,"메인메뉴 > 시스템설정 > 설정초기화 > 확인 버튼을 누르십시오.
설정초기화가 완료되면, ""시스템을 종료합니다."" 안내 음성 후 자동으로 재부팅됩니다.

(참고)
설정초기화를 하여도 SD Card에 저장된 녹화 영상은 삭제되지 않습니다."
FAQ,18. Dashcam 펌웨어 업데이트는 어떻게 하나요?,"다운로드 받은 MB_Drive_Recorder_FW.muf 파일을 SD card에 복사하여 넣고, Dashcam 전원을 켭니다. 펌웨어 업데이트 시작시 비프음이 발생하며, 펌웨어 업데이트 완료시 자동으로 재부팅 됩니다.
펌웨어 파일 다운로드는 아래 링크에서 다운로드 할 수 있습니다.
http://www.mb-driveview-warranty.com/download

(주의) 펌웨어 업데이트 중 SD card를 제거하거나 시동을 끄지 마십시오. 사용자의 부주의로 인한 고장은 품질 보증을 적용 받을 수 없습니다.

(참고)
펌웨어 업데이트 파일이 Dashcam의 펌웨어와 동일 버전인 경우 업데이트는 진행되지 않습니다.
SD card에 복사하였던 업데이트 파일은 자동으로 삭제되며, Dashcam은 자동으로 재부팅됩니다."
FAQ,19. Dashcam 본체 (전방 카메라)에 발열이 있습니다.,"본 제품은 전방 UHD, 후방 QHD의 고사양 제품으로 동작 중 발열이 발생할 수 있습니다.
일반적으로 고사양 제품들은 제품 특성상 어느 정도의 발열이 존재하나, 본 제품의 경우 내부 방열 대책이 되어 있어 제품의 동작 성능에는 영향을 미치지 않습니다."
FAQ,20. 주차모드에서 동작 온도가 어떻게 되나요?,"단말기의 외기 온도(차량 내부 온도)가 75℃를 초과하면 단말기 전원이 종료됩니다.
주차 녹화는 차량 내부 온도가 60℃ 이하일 때 정상적으로 동작합니다."
FAQ,21. LCD에 전방 카메라 영상이 '블랙/백화/색상이상'으로 나옵니다.,"전방 카메라 확인
메뉴 화면은 정상으로 보이나 전방 카메라 영상만 이상하게 나온다면 전방 카메라 렌즈 관련 문제로
추정됩니다. 전방 카메라를 교체하여 정상작동되는지 확인하십시오.

참고
LCD에 나타나는 영상으로는 카메라의 영상 불량 여부를 판단하기 힘들 수 있으니 SD Card에 저장된
영상으로 우선 확인해야 합니다."
FAQ,22. LCD에 후방 카메라 영상이 '블랙/백화/색상이상'으로 나옵니다.,"전방 카메라 설정 확인
메인메뉴 > 녹화 설정 > 채널 > ""전방+후방""으로 설정되어 있는지 확인합니다.
""전방만""으로 설정되어 있는 경우 1채널로 전방만 녹화됩니다.
후방 카메라의 Safety LED도 꺼져 있는 것이 정상 동작입니다.
  FW V1.03(초도 버전)에서는 메인메뉴 > 녹화 설정 > 상시 녹화 > 녹화 기능 > ""스포츠""로 설정되어
있는지 확인하여 주십시오. ""스포츠""로 설정되어 있는 경우 1채널로 전방만 녹화되며, 후방 카메라의 Safety LED도 꺼져있는 것이 정상 동작입니다. ""전방+후방""으로 녹화를 원하시는 경우 ""표준"" 또는 ""충격만""으로 설정하여 사용하십시오.
FW V1.04 버전부터 스포츠 모드가 2채널로 변경 가능하게 되어 스포츠 모드인 상태라면 “전방+후방”으로 되어있는지 확인하여 주십시오.

전방 카메라 설정을 다시 하였음에도 개선되지 않을 때
전방 카메라 설정을 다시 하였음에도 개선되지 않을 때 후방 카메라의 연결 부분은 두 군데입니다.
(메인 케이블과 연결부, 후방 카메라 연결부) 두 군데 모두 다시 체결한 후 확인해 보시기 바랍니다.

후방 케이블을 다시 체결했음에도 개선되지 않을 때
후방 카메라를 교체하여 정상작동되는지 확인하십시오."
FAQ,23. LCD 화면이 '블랙/백화/색상이상'으로 나옵니다.,"전방 카메라 확인
터치음 소리는 들리나 전. 후방 영상 및 메뉴 화면 모두 이상하게 나온다면 LCD 관련 문제로 추정됩니다.
전방 카메라를 교체하여 정상작동되는지 확인하십시오."
FAQ,24. LCD 화면을 터치해도 반응이 없거나 다른 부분이 눌립니다.,"전방 카메라 확인
터치음 소리는 들리나 전, 후방 영상 전환이 안 되거나 메뉴 화면으로 진입이 안 되는 경우 터치 관련 문제로 추정됩니다. 전방 카메라를 교체하여 정상작동되는지 확인하십시오."
FAQ,"25. SD Card가 없습니다, 또는 SD Card 점검 안내 음성이 나옵니다.","SD Card 확인
SD Card를 PC에서 Format 한 후 다시 확인하십시오. Format이 안 되거나 PC에서 SD Card를 인식하지
못한다면 SD Card 불량이므로 SD Card를 교체합니다.
정품 SD Card가 아닌 경우 품질 보증을 적용받을 수 없습니다. 정품 SD Card 사용을 권장합니다.

(주의) SD Card를  Format 하실 때는 사용자의 중요 녹화 파일이 있을 수 있으니, 양해를 구하고 Format
하십시오. 또한, 포맷 작업 전에 SD card에 있는 setup.cfg file과 system_infox.txt file을 backup 하여 불량 의뢰 시 전달 필요합니다.
  SD Card를 교체하여도 개선되지 않을 때,
전방 카메라를 스왑테스트하여 정상작동되는지 확인하십시오."
FAQ,26. SD Card가 PC에서 인식되지 않습니다.,"리더기 확인
SD Card 단품 불량으로 추정할 수 있지만, 사용하는 리더기에 문제가 있을 수도 있기 때문에 다른 리더기로도 테스트하십시오.
다른 리더기로 재확인해도 인식이 안 된다면 SD Card 문제로 추정됩니다. SD Card 교체하여 확인하십시오."
