년월,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2025-05,88212,48623,37027,62986,16641,22843,10786,5934,169781,22455,28860,34545,26902,35169,37957,52856,52529,754106
2025-04,86217,47203,36222,60549,16123,22257,10448,5819,163834,21975,27600,33651,26493,34315,37130,51479,51715,733030
2025-03,85220,46341,35817,58024,15784,21866,10231,5752,159685,21619,26764,32973,25988,33384,36312,49900,50650,716310
2025-02,84172,45284,35477,55919,15489,21506,10015,5674,155103,21287,25932,31657,25533,32322,35237,48510,49690,698807
2025-01,83562,44591,35093,54820,15271,21364,9851,5523,152165,21077,25237,30662,24954,31566,33990,46873,49442,686041
2024-12,83868,44259,35212,54398,15240,21314,9817,5424,151850,21004,25375,30654,24872,31417,33905,46628,49007,684244
2024-11,82824,43531,35012,54387,15093,21098,9684,5343,149479,20730,25255,30504,24701,31123,33410,46295,48523,676992
2024-10,81599,42611,33766,52472,14643,20587,9393,5247,145219,20458,24707,30280,24071,30580,32462,45740,47306,661141
2024-09,81088,41929,33447,50994,14309,20435,9213,5102,141404,20142,23844,29502,23572,30012,31941,44764,45748,647446
2024-08,80474,41175,33130,49758,14115,20266,9042,5030,138713,19851,23361,28837,23104,29076,31424,44001,44490,635847
2024-07,79548,40368,32631,48073,13820,19933,8883,4905,134741,19611,22759,27979,22494,28386,30810,43013,43117,621071
2024-06,78215,39519,32159,46697,13485,19618,8671,4747,131038,19268,22231,27330,21918,27622,29838,41818,42436,606610
2024-05,76551,38422,31856,45136,13216,18763,8423,4700,127098,19003,21710,26851,21444,27061,2960,40854,41519,565567
2024-04,75282,36963,31242,43698,12997,18549,8255,4620,123610,18742,21259,26366,21011,26478,28771,39822,41056,578721
2024-03,74438,36135,30926,42447,12832,18304,8123,4558,120975,18546,20906,25646,20640,25661,28272,38990,40551,567950
2024-02,72981,35022,30414,41189,12571,18003,7888,4475,115414,18240,20009,24055,19804,24336,26985,36534,39535,547455
2024-01,72877,34789,30396,40845,12529,17981,7875,4430,114735,18247,20003,24194,19827,24276,26934,36410,39439,545787
2023-12,72937,34643,30396,40397,12538,17889,7838,4393,114117,18236,19972,24130,19795,24200,26776,36225,39418,543900
2023-06,59327,22063,24161,26242,9096,14476,5061,3034,77648,14012,15140,16611,12727,15387,19154,22740,32976,389855
2022-12,59327,22063,24161,26242,9096,14476,5061,3034,77648,14012,15140,16611,12727,15387,19154,22740,32976,389855
2022-11,57351,21916,24131,25835,8733,14163,5030,2962,75811,13618,14933,16467,12622,14981,18864,22081,32227,381725
2022-10,55335,21054,23407,24222,8451,13385,4943,2825,72328,12845,14365,15987,12448,14437,17859,20983,30696,365570
2022-09,53798,19858,22329,22375,7887,12525,4651,2677,67941,12171,13704,15449,12162,13802,17057,19453,29556,347395
2022-08,51240,18507,21239,20858,7397,11920,4184,2555,63314,11538,13210,14438,11353,13050,16429,18245,28790,328267
2022-07,49590,17776,20613,19567,7152,11267,4156,2480,59744,10857,12603,14051,10246,12580,15663,17215,28241,313801
2022-06,48362,17206,19705,18329,6766,10468,4181,2394,56232,10159,11675,13298,9723,11549,14478,16486,27622,298633
2022-05,46722,16630,18808,16859,6462,10213,4134,2307,53239,9666,11209,12712,9310,11102,13839,15821,27224,286257
2022-04,45133,16059,18076,15191,6233,9550,3948,2180,50111,9117,10421,12142,8931,10658,13018,14957,26931,272656
2022-03,43206,15330,17584,14134,6015,8595,3789,2069,45891,8652,9683,11532,8404,9978,12318,14371,26702,258253
2022-02,41693,13805,17091,13179,5652,7902,3405,1902,41266,8179,8664,10525,7456,9203,11540,13536,26184,241182
2022-01,41140,12501,16169,12942,5204,7675,3180,1879,40239,8042,8184,10015,7389,8837,11269,12725,25580,232970
2021-12,40564,12375,16185,12820,5194,7701,3166,1859,39958,7946,8194,9991,7365,8708,11240,12606,25571,231443
2021-11,38840,11766,16083,11775,4978,7737,3149,1717,38563,7231,7731,9836,7147,8042,10870,12122,25381,222968
2021-10,35067,10939,15753,11295,4806,7700,3184,1680,37084,6786,7362,9480,6733,7826,10373,11199,24410,211677
2021-09,33434,10480,15122,10543,4722,7134,3167,1627,35385,6266,6801,8847,6286,7574,10013,10274,23845,201520
2021-08,31220,9525,14632,9370,4478,6652,3038,1509,33832,5929,6414,8426,5826,7211,9683,9730,23590,191065
2021-07,29325,8824,14226,8446,4242,6143,2943,1437,31820,5485,5934,8042,5466,6956,9171,9244,23262,180966
2021-06,28752,8503,13974,7790,4081,5836,2897,1404,30030,5200,5480,7254,5104,6643,8676,8685,22838,173147
2021-05,27013,7515,13472,6708,3813,5222,2734,1353,26944,4750,4952,6588,4432,6222,8118,7867,22148,159851
2021-04,25581,6821,13142,6312,3593,4995,2599,1317,24841,4460,4781,6269,4054,6001,7773,7474,21978,151991
2021-03,24918,6600,13041,6106,3504,4885,2527,1295,23887,4280,4688,5946,3596,5773,7588,7220,21832,147686
2021-02,23381,5512,12846,5517,3200,4462,2284,1186,21100,4086,4338,5575,3363,5415,7149,6552,21297,137263
2021-01,23441,5409,12557,5428,3210,4463,2269,1157,20670,4076,3897,5562,3360,5251,7066,6369,21206,135391
2020-12,23393,5355,12630,5366,3210,4469,2274,1148,20477,4078,3883,5489,3323,5223,7051,6308,21285,134962
2020-11,23052,5210,12570,4999,3162,4415,2249,1127,19903,3810,3794,5157,3269,5055,6753,6137,21261,131923
2020-10,22767,4696,12550,4729,3158,4197,2221,1106,19332,3567,3662,4878,3130,4896,6314,5924,21222,128349
2020-09,22118,4420,12552,4639,3151,4083,2204,1100,18512,3340,3467,4547,2977,4759,5816,5617,21107,124409
2020-08,20997,4320,12468,4204,3046,3338,2142,1076,17197,3091,3319,4252,2906,4576,5400,5003,20699,118034
2020-07,20003,4216,12454,3940,2962,3204,2119,1057,16508,3025,3268,4087,2848,4444,5192,4886,20105,114318
2020-06,19411,4100,12356,3741,2844,3126,2110,1044,15946,2952,3199,3920,2745,4323,4980,4805,19705,111307
2020-05,18098,3936,12160,3402,2745,3001,1774,1030,14876,2839,3077,3701,2561,4215,4818,4568,19388,106189
2020-04,17622,3883,11878,3345,2710,2962,1738,1024,14546,2753,2939,3560,2467,4067,4682,4432,19092,103700
2020-03,17172,3624,11641,3270,2660,2865,1650,1017,14100,2640,2617,3281,2270,3893,4441,4295,18793,100229
2020-02,16438,3270,11275,2791,2489,2625,1464,933,12510,2459,2457,2928,1920,3346,4161,3822,18684,93572
2020-01,15353,3223,11274,2660,2479,2618,1441,911,11809,2448,2427,2848,1872,3326,4071,3634,18307,90701
2019-12,14952,3216,11313,2598,2464,2555,1447,903,11750,2445,2412,2841,1841,3326,4051,3626,18178,89918
2019-11,13726,2953,11016,2516,2389,2429,1398,878,11388,2430,2382,2792,1823,3303,3956,3623,18062,87064
2019-10,12711,2645,9733,2412,2341,2361,1198,867,11035,2385,2271,2649,1804,3278,3832,3592,17933,83047
2019-09,12389,2567,9403,2322,2283,2303,1169,857,10657,2339,2144,2551,1752,3259,3670,3458,17779,80902
2019-08,12050,2489,9053,2210,2213,2224,1123,826,10304,2236,2106,2490,1700,3122,3563,3392,17559,78660
2019-07,11764,2410,8656,2132,2140,2117,1079,811,9877,2114,2074,2421,1641,3077,3409,3258,17352,76332
2019-06,11082,2234,8307,1985,2024,1937,1019,800,9267,1945,1973,2308,1586,2979,3159,3108,17101,72814
2019-05,10613,2085,7964,1842,1870,1781,959,728,8549,1833,1882,2246,1490,2817,2971,3005,16588,69223
2019-04,10175,1906,7475,1686,1736,1616,927,642,7872,1727,1695,2051,1418,2687,2763,2783,16066,65225
2019-03,9934,1786,7140,1499,1587,1463,902,535,7290,1567,1377,1559,1196,2514,2404,2602,15597,60952
2019-02,9647,1602,6927,1341,1462,1358,864,414,6579,1423,1216,1161,1017,1999,2043,2211,15268,56532
2019-01,9571,1589,6885,1298,1446,1360,862,402,6493,1393,1205,1142,1005,1997,2017,2123,15297,56085
2018-12,9564,1567,6605,1284,1447,1334,847,394,6383,1377,1199,1127,997,1974,2001,2107,15549,55756
2018-11,9329,1502,5869,1252,1384,1301,817,396,6162,1319,1175,1087,964,1942,1953,2073,15160,53685
2018-10,8619,1466,5180,1218,1293,1174,682,383,5676,1138,1133,969,877,1859,1838,2003,14317,49825
2018-09,8105,1288,4907,1183,1134,1031,639,367,5235,1000,698,833,804,1768,1648,1762,13636,46038
2018-08,7480,1199,4509,1147,1055,885,581,249,4909,902,673,782,662,1635,1497,1742,12630,42537
